"section_name","panel_name","panel_code","first_name","last_name","member_type","titles","qualifications"
"Technické vědy","Strojní inženýrství (Mechanical Engineering","P101","Petr","Svoboda","předseda","doc. Ing.","Ph.D."
"Technické vědy","Strojní inženýrství (Mechanical Engineering","P101","Jan","Vimmr","místopředseda","doc. Ing.","Ph.D."
"Technické vědy","Strojní inženýrství (Mechanical Engineering","P101","Stanislav","Honus","Member","doc. Ing.","Ph.D."
"Technické vědy","Strojní inženýrství (Mechanical Engineering","P101","Lubomír","Klimeš","Member","doc. Ing.","Ph.D."
"Technické vědy","Strojní inženýrství (Mechanical Engineering","P101","Radek","Kolman","Member","Ing.","Ph.D."
"Technické vědy","Strojní inženýrství (Mechanical Engineering","P101","Nataša","Náprstková","Member","doc. Ing.","Ph.D."
"Technické vědy","Strojní inženýrství (Mechanical Engineering","P101","Libor","Sitek","Member","Ing.","Ph.D."
"Technické vědy","Strojní inženýrství (Mechanical Engineering","P101","Zbyněk","Šika","Member","prof. Ing.","Ph.D."
"Technické vědy","Strojní inženýrství (Mechanical Engineering","P101","Tomáš","Vampola","Member","prof. Dr. Ing.","NA"
"Technické vědy","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering","P102","Jan","Franc","předseda","prof. Ing.","DrSc."
"Technické vědy","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering","P102","Radimír","Vrba","místopředseda","prof. Ing.","CSc."
"Technické vědy","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering","P102","Ondřej","Číp","Member","Ing.","Ph.D."
"Technické vědy","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering","P102","Pavel","Hazdra","Member","prof. Ing.","CSc."
"Technické vědy","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering","P102","Jan","Jeřábek","Member","doc. Ing.","Ph.D."
"Technické vědy","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering","P102","Pavel","Peterka","Member","doc. Ing.","Ph.D."
"Technické vědy","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering","P102","Martin","Pospíšilík","Member","Ing.","Ph.D."
"Technické vědy","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering","P102","Ivan","Richter","Member","doc. Ing.","Dr."
"Technické vědy","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering","P102","Pavel","Ripka","Member","prof. Ing.","CSc."
"Technické vědy","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering","P102","-","Jan","Member","prof. Dr. Ing.","MSc."
"Technické vědy","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ","P103","Jiří","Mekyska","předseda","Ing.","Ph.D."
"Technické vědy","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ","P103","Olga","Štěpánková","místopředsedkyně","prof. RNDr.","CSc."
"Technické vědy","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ","P103","Tomáš","Brázdil","Member","doc. RNDr.","Ph.D."
"Technické vědy","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ","P103","Radim","Burget","Member","doc. Ing.","Ph.D."
"Technické vědy","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ","P103","Pavel","Král","Member","doc. Ing.","Ph.D."
"Technické vědy","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ","P103","Filip","Plešinger","Member","Ing.","Ph.D."
"Technické vědy","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ","P103","Aleš","Procházka","Member","prof. Ing.","CSc."
"Technické vědy","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ","P103","Branislav","Rehák","Member","Ing. Mgr.","Ph.D."
"Technické vědy","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ","P103","Tomáš","Skopal","Member","prof. RNDr.","Ph.D."
"Technické vědy","Kybernetika, umělá inteligence a zpracování informací (Cybernetics , artificial intelligence and Information Processing ","P103","Tomáš","Vojnar","Member","prof. Ing.","Ph. D."
"Technické vědy","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science","P104","Eva","Vejmelková","předsedkyně","doc. Ing.","Ph.D."
"Technické vědy","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science","P104","Radomír","Sokolář","místopředseda","doc. Ing.","Ph.D."
"Technické vědy","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science","P104","Jiří","Brožovský","Member","prof. Ing.","Ph.D."
"Technické vědy","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science","P104","Vladimír","Gryc","Member","prof. Ing.","Ph.D."
"Technické vědy","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science","P104","Karel","Hájek","Member","doc. Ing. arch.","Ph.D."
"Technické vědy","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science","P104","Tomáš","Opravil","Member","doc. Ing.","Ph.D."
"Technické vědy","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science","P104","Jiří","Palacký","Member","doc. Ing. arch.","Ph.D."
"Technické vědy","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science","P104","Iveta","Skotnicová","Member","doc. Ing.","Ph.D."
"Technické vědy","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science","P104","Miroslav","Vokáč","Member","Ing.","Ph.D."
"Technické vědy","Stavební materiály, architektura a stavitelství (Construction Materials, Architecture and Building Science","P104","Jiří","Zach","Member","doc. Ing.","Ph.D."
"Technické vědy","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics","P105","Zbyněk","Keršner","předseda","prof. Ing.","CSc."
"Technické vědy","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics","P105","Radim","Čajka","místopředseda","prof. Ing.","CSc."
"Technické vědy","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics","P105","Petr","Hájek","Member","prof. Ing.","CSc."
"Technické vědy","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics","P105","Antonín","Lokaj","Member","prof. Ing.","Ph.D."
"Technické vědy","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics","P105","Jan","Tippner","Member","Ing.","Ph.D."
"Technické vědy","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics","P105","Shota","Urushadze","Member","Ing.","Ph.D."
"Technické vědy","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics","P105","Jan","Vorel","Member","doc. Ing.","Ph.D."
"Technické vědy","Stavební mechanika a konstrukce, mechanika tekutin a geotechnika (Structural Mechanics and Construction, Fluid Mechanics and Geotechnics","P105","Zbyněk","Zachoval","Member","doc. Ing.","Ph.D."
"Technické vědy","Technická chemie (Technical Chemistry","P106","Jan","Macák","předseda","Dr. Ing.","NA"
"Technické vědy","Technická chemie (Technical Chemistry","P106","Hynek","Beneš","místopředseda","Ing.","Ph.D."
"Technické vědy","Technická chemie (Technical Chemistry","P106","Roman","Bulánek","Member","prof. Ing.","Ph.D."
"Technické vědy","Technická chemie (Technical Chemistry","P106","Jan","Demel","Member","RNDr.","Ph.D."
"Technické vědy","Technická chemie (Technical Chemistry","P106","Petr","Chytil","Member","RNDr.","Ph.D."
"Technické vědy","Technická chemie (Technical Chemistry","P106","Pavel","Izák","Member","Ing.","Ph.D."
"Technické vědy","Technická chemie (Technical Chemistry","P106","Kamila","Kočí","Member","prof. Ing.","Ph.D."
