"panel_code","panel_name","panelist","affiliation","year","data_category"
101,"Strojírenství","Doc. Ing. Tomáš Dlouhý"," České vysoké učení technické v Praze - Fakulta strojní ","2008","branch"
101,"Strojírenství","Prof. RNDr. Zdeněk Knésl"," Ústav fyziky materiálů AV ČR","2008","branch"
101,"Strojírenství","Prof. Ing. Jan Skalla"," Technická univerzita v Liberci - Fakulta strojní ","2008","branch"
101,"Strojírenství","Doc. Ing. Jaroslav Zapoměl"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta strojní ","2008","branch"
102,"Elektrotechnika a kybernetika","Prof.Ing. Zdeňka Benešová"," Západočeská univerzita v Plzni - Fakulta elektrotechnická ","2008","branch"
102,"Elektrotechnika a kybernetika","Prof. Dr. Ing. Miroslav Pokorný"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta elektrotechniky a informatiky ","2008","branch"
102,"Elektrotechnika a kybernetika","Prof. Ing. Václav Přenosil"," Masarykova univerzita - Fakulta informatiky ","2008","branch"
102,"Elektrotechnika a kybernetika","Doc.Ing. Pavel Václavek"," Vysoké učení technické v Brně - Fakulta elektrotechniky a komunikačních technologií ","2008","branch"
102,"Elektrotechnika a kybernetika","Prof. Ing. Jan Vrba"," České vysoké učení technické v Praze - Fakulta elektrotechnická ","2008","branch"
103,"Stavebnictví, architektura a doprava","Prof. Ing. Milena Císlerová"," České vysoké učení technické v Praze - Fakulta stavební ","2008","branch"
103,"Stavebnictví, architektura a doprava","Prof. Ing. Josef Jíra"," České vysoké učení technické v Praze - Fakulta dopravní ","2008","branch"
103,"Stavebnictví, architektura a doprava","Ing. Jiří Náprstek"," Ústav teoretické a aplikované mechaniky AV ČR","2008","branch"
103,"Stavebnictví, architektura a doprava","Doc. Ing. Vlastimil Stara"," Vysoké učení technické v Brně - Fakulta stavební ","2008","branch"
103,"Stavebnictví, architektura a doprava","Doc. Ing. Petr Škapa"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta strojní ","2008","branch"
104,"Technická chemie","Prof. Ing. Jiří Čejka"," Ústav fyzikální chemie J. Heyrovského AV ČR","2008","branch"
104,"Technická chemie","Prof. Ing. Libor Červený"," Vysoká škola chemicko-technologická v Praze - Fakulta chemické technologie ","2008","branch"
104,"Technická chemie","Prof. Ing. Petr Mikulášek"," Univerzita Pardubice - Fakulta chemicko-technologická ","2008","branch"
104,"Technická chemie","Doc. Ing. Michal Veselý"," Vysoké učení technické v Brně - Fakulta chemická ","2008","branch"
105,"Hornictví","Prof. Ing. Jaroslav Dvořáček"," Vysoká škola báňská - Technická univerzita Ostrava - Hornicko-geologická fakulta ","2008","branch"
105,"Hornictví","Dr. Ing. Petr Welser"," Ostravsko-karvinské doly","2008","branch"
106,"Hutnictví a materiálové inženýrství","Doc. Ing. Jiří Burša"," Vysoké učení technické v Brně - Fakulta strojního inženýrství ","2008","branch"
106,"Hutnictví a materiálové inženýrství","Prof. Ing. František Černý"," České vysoké učení technické v Praze - Fakulta strojní ","2008","branch"
NA,NA,"Prof. Ing. Jana Dobrovská"," Vysoká škola báňská - Technická univerzita Ostrava - Fakulta metalurgie a materiálového inženýrství","2008","branch"
106,"Hutnictví a materiálové inženýrství","Doc.Ing. Karel Matocha"," Materiálový a metalurgický výzkum","2008","branch"
106,"Hutnictví a materiálové inženýrství","Prof. RNDr. Jaroslav Polák"," Ústav fyziky materiálů AV ČR","2008","branch"
