"panelist_name","panel_name","panelist_affiliation","data_category","year"
"Lubomír Antoš"," Strojírenství","ŠKODA AUTO Vysoká škola Mladá Boleslav","sub-branch","2007"
"Jan Čermák"," Strojírenství","České vysoké učení technické v Praze Fakulta strojní Praha 6","sub-branch","2007"
"Tomáš Dlouhý"," Strojírenství","České vysoké učení technické v Praze Fakulta strojní Praha 6","sub-branch","2007"
"Zdeněk Knésl"," Strojírenství","Ústav fyziky materiálů AV ČR, Brno","sub-branch","2007"
"Vladislav Laš"," Strojírenství","Západočeská univerzita v Plzni Fakulta aplikovaných věd Plzeň","sub-branch","2007"
"Jan Melichar"," Strojírenství","České vysoké učení technické v Praze Fakulta strojní Praha 6","sub-branch","2007"
"Pavel Noskievič"," Strojírenství","Vysoká škola báňská - Technická univerzita Ostrava Výzkumné energetické centrum Ostrava - Poruba","sub-branch","2007"
"Bohumil Pacal"," Strojírenství","Vysoké učení technické v Brně Fakulta strojního inženýrství Brno","sub-branch","2007"
"František Pochylý"," Strojírenství","Vysoké učení technické v Brně Fakulta strojního inženýrství Brno","sub-branch","2007"
"Pavel Polach"," Strojírenství","Škoda výzkum Plzeň","sub-branch","2007"
"Jaromír Příhoda"," Strojírenství","Ústav termomechaniky AV ČR, Praha 8","sub-branch","2007"
"Ladislav Půst"," Strojírenství","Ústav termomechaniky AV ČR, Praha 8","sub-branch","2007"
"Aleš Richter"," Strojírenství","Technická univerzita v Liberci Fakulta mechatroniky a mezioborových inženýrských studií Liberec 1","sub-branch","2007"
"Milan Růžička"," Strojírenství","České vysoké učení technické v Praze Fakulta strojní Praha 6","sub-branch","2007"
"Jan Skalla"," Strojírenství","Technická univerzita v Liberci Fakulta strojní Liberec 1","sub-branch","2007"
"Jiří Stodola"," Strojírenství","Ministerstvo obrany Univerzita obrany Brno","sub-branch","2007"
"Jiří Tůma"," Strojírenství","Vysoká škola báňská - Technická univerzita Ostrava Fakulta strojní Ostrava","sub-branch","2007"
"Jaroslav Zapoměl"," Strojírenství","Vysoká škola báňská - Technická univerzita Ostrava Fakulta strojní Ostrava","sub-branch","2007"
"Josef Halámek","Elektrotechnika a kybernetika","Ústav přístrojové techniky AV ČR, Brno","sub-branch","2007"
"Václav Havlíček","Elektrotechnika a kybernetika","České vysoké učení technické v Praze Fakulta elektrotechnická Praha 6","sub-branch","2007"
"Pavel Honzátko","Elektrotechnika a kybernetika","Ústav fotoniky a elektroniky AV ČR, Praha 8 - Kobylisy","sub-branch","2007"
