"panel_code","panel_name","panelist_name","affiliation","chair","panel_category","year"
"101","Strojírenství","Doc. Ing. Jan Čermák"," České vysoké učení technické v Praze - Fakulta strojní","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Doc. Ing. Tomáš Dlouhý"," České vysoké učení technické v Praze - Fakulta strojní","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Ing. Jiří Hájek"," Vysoké učení technické v Brně - Fakulta strojního inženýrství","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Prof. RNDr. Zdeněk Knésl"," Ústav fyziky materiálů AV ČR","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Doc. Ing. Vladislav Laš"," Západočeská univerzita v Plzni - Fakulta aplikovaných věd","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Prof. Ing. Jan Melichar"," České vysoké učení technické v Praze - Fakulta strojní","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Doc. Ing. Bohumil Pacal"," Vysoké učení technické v Brně - Fakulta strojního inženýrství","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Prof. Ing. František Pochylý"," Vysoké učení technické v Brně - Fakulta strojního inženýrství","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Dr. Ing. Pavel Polach"," Škoda výzkum s.r.o.","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Prof. Ing. Jaromír Příhoda"," Ústav termomechaniky AV ČR","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Ing. Ladislav Půst"," Ústav termomechaniky AV ČR","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
"101","Strojírenství","Prof. Ing. Aleš Richter"," Technická univerzita v Liberci - Fakulta mechatroniky a mezioborových inženýrských studií","Prof. Ing. Jan Skalla, CSc. - předseda","sub-branch","2008"
