"","panelist","panel","year","url"
"1","doc. Ing. Petr Svoboda, Ph.D. (předseda)","Strojní inženýrství (Mechanical Engineering) - P101",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"2","doc. Ing. Jan Vimmr, Ph.D. (místopředseda)","Strojní inženýrství (Mechanical Engineering) - P101",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"3","doc. Ing. Stanislav Honus, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"4","doc. Ing. Lubomír Klimeš, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"5","Ing. Radek Kolman, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"6","doc. Ing. Nataša Náprstková, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"7","Ing. Libor Sitek, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"8","prof. Ing. Zbyněk Šika, Ph.D.","Strojní inženýrství (Mechanical Engineering) - P101",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"9","prof. Dr. Ing. Tomáš Vampola","Strojní inženýrství (Mechanical Engineering) - P101",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"10","prof. Ing. Jan Franc, DrSc. (předseda)","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"11","prof. Ing. Radimír Vrba, CSc. (místopředseda)","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
"12","Ing. Ondřej Číp, Ph.D.","Elektrotechnika a elektronika (Electrical Engineering and Electronic Engineering) - P102",2021,"https://wayback.webarchiv.cz/wayback/20211025232040/https://gacr.cz/o-ga-cr/poradni-organy/panely/"
