"panel_name","first_name","second_name","affiliation","year","url"
"Strojírenství","Lubomír","Antoš","ŠKODA AUTO Vysoká škola Mladá Boleslav",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Jan","Čermák","České vysoké učení technické v Praze Fakulta strojní Praha 6",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Tomáš","Dlouhý","České vysoké učení technické v Praze Fakulta strojní Praha 6",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Zdeněk","Knésl","Ústav fyziky materiálů AV ČR, Brno",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Vladislav","Laš","Západočeská univerzita v Plzni Fakulta aplikovaných věd Plzeň",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Jan","Melichar","České vysoké učení technické v Praze Fakulta strojní Praha 6",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Pavel","Noskievič","Vysoká škola báňská - Technická univerzita Ostrava Výzkumné energetické centrum Ostrava - Poruba",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Bohumil","Pacal","Vysoké učení technické v Brně Fakulta strojního inženýrství Brno",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","František","Pochylý","Vysoké učení technické v Brně Fakulta strojního inženýrství Brno",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Pavel","Polach","Škoda výzkum Plzeň",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Jaromír","Příhoda","Ústav termomechaniky AV ČR, Praha 8",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Ladislav","Půst","Ústav termomechaniky AV ČR, Praha 8",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Aleš","Richter","Technická univerzita v Liberci Fakulta mechatroniky a mezioborových inženýrských studií Liberec 1",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Milan","Růžička","České vysoké učení technické v Praze Fakulta strojní Praha 6",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Jan","Skalla","Technická univerzita v Liberci Fakulta strojní Liberec 1",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Jiří","Stodola","Ministerstvo obrany Univerzita obrany Brno",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Jiří","Tůma","Vysoká škola báňská - Technická univerzita Ostrava Fakulta strojní Ostrava",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství","Jaroslav","Zapoměl","Vysoká škola báňská - Technická univerzita Ostrava Fakulta strojní Ostrava",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Josef","Halámek","Ústav přístrojové techniky AV ČR, Brno",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Václav","Havlíček","České vysoké učení technické v Praze Fakulta elektrotechnická Praha 6",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Pavel","Honzátko","Ústav fotoniky a elektroniky AV ČR, Praha 8 - Kobylisy",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Jan","Honzík","Vysoké učení technické v Brně Fakulta informačních technologií Brno",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Vojtěch","Konopa","Technická univerzita v Liberci Liberec 1",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Zdeněk","Kotásek","Vysoké učení technické v Brně Fakulta informačních technologií Brno",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Anna","Kotlanová","Západočeská univerzita v Plzni Fakulta elektrotechnická Plzeň",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Václav","Kubeček","České vysoké učení technické v Praze Fakulta jaderná a fyzikálně inženýrská Praha 1",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Jaroslav","Nosek","Technická univerzita v Liberci Fakulta mechatroniky a mezioborových inženýrských studií Liberec 1",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Miroslav","Pokorný","Vysoká škola báňská - Technická univerzita Ostrava Fakulta elektrotechniky a informatiky Ostrava 4",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Václav","Přenosil","Masarykova univerzita Fakulta informatiky Brno",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Vladimír","Schejbal","Univerzita Pardubice Dopravní fakulta Jana Pernera Pardubice",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
"Elektrotechnika a kybernetika","Luděk","Schreier","Ústav termomechaniky AV ČR, Praha 8",2007,"https://wayback.webarchiv.cz/wayback/20071007210841/http://pala.gacr.cas.cz/wordpress/"
