"panel_name","panel_code","first_name","second_name","titles","affiliation","year","url"
"Strojírenství",101,"Jan","Čermák","Doc. Ing.","České vysoké učení technické v Praze - Fakulta strojní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"Tomáš","Dlouhý","Doc. Ing.","České vysoké učení technické v Praze - Fakulta strojní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"Jiří","Hájek","Ing.","Vysoké učení technické v Brně - Fakulta strojního inženýrství",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"Zdeněk","Knésl","Prof. RNDr.","Ústav fyziky materiálů AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"Vladislav","Laš","Doc. Ing.","Západočeská univerzita v Plzni - Fakulta aplikovaných věd",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"Jan","Melichar","Prof. Ing.","České vysoké učení technické v Praze - Fakulta strojní",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"Bohumil","Pacal","Doc. Ing.","Vysoké učení technické v Brně - Fakulta strojního inženýrství",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"František","Pochylý","Prof. Ing.","Vysoké učení technické v Brně - Fakulta strojního inženýrství",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"Pavel","Polach","Dr. Ing.","Škoda výzkum s.r.o.",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"Jaromír","Příhoda","Prof. Ing.","Ústav termomechaniky AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"Ladislav","Půst","Ing.","Ústav termomechaniky AV ČR",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
"Strojírenství",101,"Aleš","Richter","Prof. Ing.","Technická univerzita v Liberci - Fakulta mechatroniky a mezioborových inženýrských studií",2008,"https://wayback.webarchiv.cz/wayback/20081129223741/http://pala.gacr.cas.cz/wordpress/"
